Symbol,Date,Open,High,Low,Close,Adj Close,Volume
AAPL,1980-12-12,0.513393,0.515625,0.513393,0.513393,0.023106,117258400
AAPL,1980-12-15,0.488839,0.488839,0.486607,0.486607,0.021900,43971200
AAPL,1980-12-16,0.453125,0.453125,0.450893,0.450893,0.020293,26432000
AAPL,1980-12-17,0.462054,0.464286,0.462054,0.462054,0.020795,21610400
AAPL,1980-12-18,0.475446,0.477679,0.475446,0.475446,0.021398,18362400
AAPL,1980-12-19,0.504464,0.506696,0.504464,0.504464,0.022704,12157600
AAPL,1980-12-22,0.529018,0.531250,0.529018,0.529018,0.023809,9340800
AAPL,1980-12-23,0.551339,0.553571,0.551339,0.551339,0.024814,11737600
AAPL,1980-12-24,0.580357,0.582589,0.580357,0.580357,0.026120,12000800
AAPL,1980-12-26,0.633929,0.636161,0.633929,0.633929,0.028531,13893600
AAPL,1980-12-29,0.642857,0.645089,0.642857,0.642857,0.028932,23290400
AAPL,1980-12-30,0.629464,0.629464,0.627232,0.627232,0.028229,17220000
AAPL,1980-12-31,0.611607,0.611607,0.609375,0.609375,0.027425,8937600
AAPL,1981-01-02,0.616071,0.620536,0.616071,0.616071,0.027727,5415200
AAPL,1981-01-05,0.604911,0.604911,0.602679,0.602679,0.027124,8932000
AAPL,1981-01-06,0.578125,0.578125,0.575893,0.575893,0.025919,11289600
AAPL,1981-01-07,0.553571,0.553571,0.551339,0.551339,0.024814,13921600
AAPL,1981-01-08,0.542411,0.542411,0.540179,0.540179,0.024311,9956800
AAPL,1981-01-09,0.569196,0.571429,0.569196,0.569196,0.025617,5376000
AAPL,1981-01-12,0.569196,0.569196,0.564732,0.564732,0.025416,5924800
AAPL,1981-01-13,0.546875,0.546875,0.544643,0.544643,0.024512,5762400
AAPL,1981-01-14,0.546875,0.549107,0.546875,0.546875,0.024613,3572800
AAPL,1981-01-15,0.558036,0.562500,0.558036,0.558036,0.025115,3516800
AAPL,1981-01-16,0.555804,0.555804,0.553571,0.553571,0.024914,3348800
AAPL,1981-01-19,0.587054,0.589286,0.587054,0.587054,0.026421,10393600
AAPL,1981-01-20,0.571429,0.571429,0.569196,0.569196,0.025617,7520800
AAPL,1981-01-21,0.580357,0.584821,0.580357,0.580357,0.026120,3976000
AAPL,1981-01-22,0.587054,0.591518,0.587054,0.587054,0.026421,8887200
AAPL,1981-01-23,0.587054,0.589286,0.584821,0.584821,0.026320,2805600
AAPL,1981-01-26,0.578125,0.578125,0.575893,0.575893,0.025919,6160000
AAPL,1981-01-27,0.575893,0.575893,0.571429,0.571429,0.025718,5924800
AAPL,1981-01-28,0.555804,0.555804,0.553571,0.553571,0.024914,7039200
AAPL,1981-01-29,0.535714,0.535714,0.533482,0.533482,0.024010,10976000
AAPL,1981-01-30,0.508929,0.508929,0.504464,0.504464,0.022704,11547200
AAPL,1981-02-02,0.477679,0.477679,0.475446,0.475446,0.021398,5941600
AAPL,1981-02-03,0.493304,0.495536,0.493304,0.493304,0.022202,4788000
AAPL,1981-02-04,0.511161,0.513393,0.511161,0.511161,0.023005,6966400
AAPL,1981-02-05,0.511161,0.515625,0.511161,0.511161,0.023005,1982400
AAPL,1981-02-06,0.513393,0.515625,0.513393,0.513393,0.023106,3466400
AAPL,1981-02-09,0.491071,0.491071,0.486607,0.486607,0.021900,4188800
AAPL,1981-02-10,0.486607,0.488839,0.486607,0.486607,0.021900,4586400
AAPL,1981-02-11,0.473214,0.473214,0.470982,0.470982,0.021197,3460800
AAPL,1981-02-12,0.468750,0.468750,0.466518,0.466518,0.020996,3640000
AAPL,1981-02-13,0.459821,0.459821,0.455357,0.455357,0.020494,2788800
AAPL,1981-02-17,0.466518,0.468750,0.466518,0.466518,0.020996,3068800
AAPL,1981-02-18,0.486607,0.491071,0.486607,0.486607,0.021900,4810400
AAPL,1981-02-19,0.459821,0.459821,0.457589,0.457589,0.020594,5577600
AAPL,1981-02-20,0.435268,0.435268,0.433036,0.433036,0.019489,6092800
AAPL,1981-02-23,0.439732,0.441964,0.439732,0.439732,0.019791,3528000
AAPL,1981-02-24,0.428571,0.428571,0.424107,0.424107,0.019087,4244800
AAPL,1981-02-25,0.450893,0.453125,0.450893,0.450893,0.020293,4872000
AAPL,1981-02-26,0.457589,0.459821,0.457589,0.457589,0.020594,2710400
AAPL,1981-02-27,0.473214,0.477679,0.473214,0.473214,0.021297,3690400
AAPL,1981-03-02,0.475446,0.477679,0.475446,0.475446,0.021398,2940000
AAPL,1981-03-03,0.470982,0.470982,0.468750,0.468750,0.021097,4043200
AAPL,1981-03-04,0.466518,0.466518,0.464286,0.464286,0.020896,3427200
AAPL,1981-03-05,0.464286,0.464286,0.462054,0.462054,0.020795,1344000
AAPL,1981-03-06,0.462054,0.462054,0.457589,0.457589,0.020594,2900800
AAPL,1981-03-09,0.424107,0.424107,0.421875,0.421875,0.018987,3830400
AAPL,1981-03-10,0.404018,0.404018,0.401786,0.401786,0.018083,7095200
AAPL,1981-03-11,0.390625,0.390625,0.386161,0.386161,0.017380,7464800
AAPL,1981-03-12,0.401786,0.404018,0.401786,0.401786,0.018083,14812000
AAPL,1981-03-13,0.399554,0.399554,0.397321,0.397321,0.017882,57825600
AAPL,1981-03-16,0.412946,0.417411,0.412946,0.412946,0.018585,9307200
AAPL,1981-03-17,0.433036,0.437500,0.433036,0.433036,0.019489,10936800
AAPL,1981-03-18,0.459821,0.464286,0.459821,0.459821,0.020695,9234400
AAPL,1981-03-19,0.457589,0.457589,0.455357,0.455357,0.020494,9452800
AAPL,1981-03-20,0.459821,0.464286,0.459821,0.459821,0.020695,3651200
AAPL,1981-03-23,0.477679,0.482143,0.477679,0.477679,0.021498,5504800
AAPL,1981-03-24,0.477679,0.477679,0.475446,0.475446,0.021398,7039200
AAPL,1981-03-25,0.470982,0.470982,0.466518,0.466518,0.020996,1764000
AAPL,1981-03-26,0.459821,0.459821,0.457589,0.457589,0.020594,3068800
AAPL,1981-03-27,0.444196,0.444196,0.441964,0.441964,0.019891,3063200
AAPL,1981-03-30,0.441964,0.446429,0.441964,0.441964,0.019891,2475200
AAPL,1981-03-31,0.441964,0.441964,0.437500,0.437500,0.019690,3998400
AAPL,1981-04-01,0.435268,0.435268,0.433036,0.433036,0.019489,8517600
AAPL,1981-04-02,0.470982,0.473214,0.470982,0.470982,0.021197,7851200
AAPL,1981-04-03,0.473214,0.475446,0.473214,0.473214,0.021297,4121600
AAPL,1981-04-06,0.466518,0.466518,0.464286,0.464286,0.020896,5700800
AAPL,1981-04-07,0.462054,0.462054,0.459821,0.459821,0.020695,2671200
AAPL,1981-04-08,0.482143,0.486607,0.482143,0.482143,0.021699,5488000
AAPL,1981-04-09,0.491071,0.493304,0.491071,0.491071,0.022101,3124800
AAPL,1981-04-10,0.497768,0.500000,0.497768,0.497768,0.022403,8366400
AAPL,1981-04-13,0.497768,0.500000,0.497768,0.497768,0.022403,4015200
AAPL,1981-04-14,0.497768,0.500000,0.497768,0.497768,0.022403,1663200
AAPL,1981-04-15,0.475446,0.475446,0.473214,0.473214,0.021297,8512000
AAPL,1981-04-16,0.448661,0.448661,0.446429,0.446429,0.020092,5969600
AAPL,1981-04-20,0.459821,0.462054,0.459821,0.459821,0.020695,8836800
AAPL,1981-04-21,0.491071,0.493304,0.491071,0.491071,0.022101,7134400
AAPL,1981-04-22,0.508929,0.511161,0.508929,0.508929,0.022905,4748800
AAPL,1981-04-23,0.522321,0.524554,0.522321,0.522321,0.023508,14504000
AAPL,1981-04-24,0.522321,0.522321,0.517857,0.517857,0.023307,8764000
AAPL,1981-04-27,0.515625,0.515625,0.513393,0.513393,0.023106,9632000
AAPL,1981-04-28,0.506696,0.506696,0.504464,0.504464,0.022704,8047200
AAPL,1981-04-29,0.500000,0.500000,0.497768,0.497768,0.022403,3410400
AAPL,1981-04-30,0.506696,0.511161,0.506696,0.506696,0.022804,3152800
AAPL,1981-05-01,0.506696,0.511161,0.506696,0.506696,0.022804,4138400
AAPL,1981-05-04,0.506696,0.506696,0.504464,0.504464,0.022704,3612000
AAPL,1981-05-05,0.504464,0.504464,0.502232,0.502232,0.022603,4384800
AAPL,1981-05-06,0.491071,0.491071,0.488839,0.488839,0.022001,4737600
AAPL,1981-05-07,0.495536,0.497768,0.495536,0.495536,0.022302,2340800
AAPL,1981-05-08,0.500000,0.502232,0.500000,0.500000,0.022503,1976800
AAPL,1981-05-11,0.491071,0.491071,0.488839,0.488839,0.022001,2984800
AAPL,1981-05-12,0.488839,0.495536,0.488839,0.488839,0.022001,1064000
AAPL,1981-05-13,0.488839,0.493304,0.486607,0.486607,0.021900,1226400
AAPL,1981-05-14,0.484375,0.484375,0.479911,0.479911,0.021599,1232000
AAPL,1981-05-15,0.491071,0.497768,0.491071,0.491071,0.022101,1226400
AAPL,1981-05-18,0.500000,0.504464,0.500000,0.500000,0.022503,1041600
AAPL,1981-05-19,0.493304,0.493304,0.491071,0.491071,0.022101,6356000
AAPL,1981-05-20,0.506696,0.511161,0.506696,0.506696,0.022804,3320800
AAPL,1981-05-21,0.535714,0.537946,0.535714,0.535714,0.024110,8052800
AAPL,1981-05-22,0.560268,0.564732,0.560268,0.560268,0.025215,7856800
AAPL,1981-05-26,0.560268,0.560268,0.558036,0.558036,0.025115,21336000
AAPL,1981-05-27,0.589286,0.591518,0.589286,0.589286,0.026521,37374400
AAPL,1981-05-28,0.589286,0.591518,0.589286,0.589286,0.026521,18496800
AAPL,1981-05-29,0.591518,0.593750,0.591518,0.591518,0.026622,14845600
AAPL,1981-06-01,0.591518,0.593750,0.591518,0.591518,0.026622,12812800
AAPL,1981-06-02,0.564732,0.564732,0.562500,0.562500,0.025316,10108000
AAPL,1981-06-03,0.562500,0.566964,0.562500,0.562500,0.025316,9861600
AAPL,1981-06-04,0.573661,0.575893,0.573661,0.573661,0.025818,14016800
AAPL,1981-06-05,0.566964,0.566964,0.564732,0.564732,0.025416,14420000
AAPL,1981-06-08,0.546875,0.546875,0.544643,0.544643,0.024512,23374400
AAPL,1981-06-09,0.555804,0.558036,0.555804,0.555804,0.025014,29898400
AAPL,1981-06-10,0.562500,0.569196,0.562500,0.562500,0.025316,6305600
AAPL,1981-06-11,0.587054,0.589286,0.587054,0.587054,0.026421,9744000
AAPL,1981-06-12,0.582589,0.582589,0.580357,0.580357,0.026120,6451200
AAPL,1981-06-15,0.580357,0.580357,0.578125,0.578125,0.026019,35940800
AAPL,1981-06-16,0.569196,0.569196,0.566964,0.566964,0.025517,9312800
AAPL,1981-06-17,0.560268,0.560268,0.558036,0.558036,0.025115,6893600
AAPL,1981-06-18,0.558036,0.560268,0.555804,0.555804,0.025014,5762400
AAPL,1981-06-19,0.542411,0.542411,0.540179,0.540179,0.024311,6876800
AAPL,1981-06-22,0.522321,0.522321,0.520089,0.520089,0.023407,2710400
AAPL,1981-06-23,0.529018,0.533482,0.529018,0.529018,0.023809,3757600
AAPL,1981-06-24,0.520089,0.520089,0.515625,0.515625,0.023206,5756800
AAPL,1981-06-25,0.526786,0.529018,0.526786,0.526786,0.023708,6064800
AAPL,1981-06-26,0.524554,0.524554,0.520089,0.520089,0.023407,5947200
AAPL,1981-06-29,0.506696,0.506696,0.502232,0.502232,0.022603,2648800
AAPL,1981-06-30,0.466518,0.466518,0.464286,0.464286,0.020896,8976800
AAPL,1981-07-01,0.462054,0.462054,0.459821,0.459821,0.020695,42616000
AAPL,1981-07-02,0.459821,0.462054,0.459821,0.459821,0.020695,7571200
AAPL,1981-07-06,0.448661,0.448661,0.444196,0.444196,0.019991,4132800
AAPL,1981-07-07,0.448661,0.453125,0.448661,0.448661,0.020192,3959200
AAPL,1981-07-08,0.466518,0.468750,0.466518,0.466518,0.020996,4155200
AAPL,1981-07-09,0.433036,0.433036,0.430804,0.430804,0.019389,8220800
